run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
1,42,flatten,be,1,2,zero,0.42829999327659607,376.1
2,42,flatten,be,3,2,zero,0.43810001015663147,361.61
3,42,flatten,be,5,2,zero,0.4925999939441681,379.67
4,42,flatten,be,7,2,zero,0.44130000472068787,413.49
5,42,flatten,be,9,2,zero,0.4844000041484833,424.96
6,42,flatten,be,15,2,zero,0.477400004863739,502.0
7,42,flatten,be,21,2,zero,0.5120000243186951,535.9
8,42,flatten,be,1,2,random_fixed,0.39010000228881836,352.47
9,42,flatten,be,3,2,random_fixed,0.3952000141143799,391.86
10,42,flatten,be,5,2,random_fixed,0.41029998660087585,413.12
11,42,flatten,be,7,2,random_fixed,0.39579999446868896,375.39
12,42,flatten,be,9,2,random_fixed,0.43650001287460327,450.62
13,42,flatten,be,15,2,random_fixed,0.3224000036716461,444.31
14,42,flatten,be,21,2,random_fixed,0.4819999933242798,555.49
15,42,flatten,be,1,2,random_indep,0.27469998598098755,375.54
16,42,flatten,be,3,2,random_indep,0.4805000126361847,389.72
17,42,flatten,be,5,2,random_indep,0.4584999978542328,394.72
18,42,flatten,be,7,2,random_indep,0.46299999952316284,418.98
19,42,flatten,be,9,2,random_indep,0.3734000027179718,445.09
20,42,flatten,be,15,2,random_indep,0.42289999127388,503.92
21,42,flatten,be,21,2,random_indep,0.4880000054836273,504.79
22,42,flatten,be,1,4,zero,0.5047000050544739,683.95
23,42,flatten,be,3,4,zero,0.5626999735832214,644.67
24,42,flatten,be,5,4,zero,0.6434999704360962,766.01
25,42,flatten,be,7,4,zero,0.5884000062942505,807.2
26,42,flatten,be,9,4,zero,0.6442000269889832,842.43
27,42,flatten,be,15,4,zero,0.6284999847412109,952.9
28,42,flatten,be,21,4,zero,0.5795000195503235,1066.6
29,42,flatten,be,1,4,random_fixed,0.44839999079704285,688.46
30,42,flatten,be,3,4,random_fixed,0.5828999876976013,726.92
31,42,flatten,be,5,4,random_fixed,0.5971999764442444,737.24
32,42,flatten,be,7,4,random_fixed,0.5685999989509583,813.73
33,42,flatten,be,9,4,random_fixed,0.5766000151634216,817.65
34,42,flatten,be,15,4,random_fixed,0.5985999703407288,953.77
35,42,flatten,be,21,4,random_fixed,0.5891000032424927,1043.23
36,42,flatten,be,1,4,random_indep,0.524399995803833,664.0
37,42,flatten,be,3,4,random_indep,0.57669997215271,733.91
38,42,flatten,be,5,4,random_indep,0.6098999977111816,768.23
39,42,flatten,be,7,4,random_indep,0.6207000017166138,806.86
40,42,flatten,be,9,4,random_indep,0.6220999956130981,839.95
