run_id,seed,representation,K,test_accuracy,runtime_sec
1,42,flatten,2,0.8073999881744385,103.46
2,42,flatten,4,0.8073999881744385,105.05
3,42,flatten,8,0.8073999881744385,105.42
4,42,flatten,16,0.8073999881744385,105.1
5,42,flatten,32,0.8073999881744385,104.94
6,42,pauli,2,0.8172000050544739,118.81
7,42,pauli,4,0.8172000050544739,115.92
8,42,pauli,8,0.8172000050544739,119.32
9,42,pauli,16,0.8172000050544739,115.54
10,42,pauli,32,0.8172000050544739,118.18
11,4,flatten,2,0.8082000017166138,107.71
12,4,flatten,4,0.8082000017166138,104.95
13,4,flatten,8,0.8082000017166138,107.5
14,4,flatten,16,0.8082000017166138,101.83
15,4,flatten,32,0.8082000017166138,104.11
16,4,pauli,2,0.8177000284194946,118.35
17,4,pauli,4,0.8177000284194946,117.67
18,4,pauli,8,0.8177000284194946,117.96
19,4,pauli,16,0.8177000284194946,114.57
20,4,pauli,32,0.8177000284194946,120.91
21,14,flatten,2,0.807699978351593,105.37
22,14,flatten,4,0.807699978351593,106.37
23,14,flatten,8,0.807699978351593,104.85
24,14,flatten,16,0.807699978351593,104.08
25,14,flatten,32,0.807699978351593,111.73
26,14,pauli,2,0.8180000185966492,114.19
27,14,pauli,4,0.8180000185966492,118.08
28,14,pauli,8,0.8180000185966492,121.1
29,14,pauli,16,0.8180000185966492,121.09
30,14,pauli,32,0.8180000185966492,120.04
