run_id,seed,representation,K,test_accuracy,runtime_sec
1,42,flatten,2,0.6845999956130981,64.42
2,42,flatten,4,0.7940000295639038,65.51
3,42,flatten,8,0.8281000256538391,63.85
4,42,flatten,16,0.8378000259399414,65.99
5,42,flatten,32,0.8421000242233276,68.42
6,42,pauli,2,0.6988999843597412,76.7
7,42,pauli,4,0.7903000116348267,73.23
8,42,pauli,8,0.8325999975204468,69.54
9,42,pauli,16,0.8432999849319458,74.02
10,42,pauli,32,0.8447999954223633,76.0
11,4,flatten,2,0.6836000084877014,64.53
12,4,flatten,4,0.7936999797821045,64.22
13,4,flatten,8,0.8305000066757202,64.11
14,4,flatten,16,0.8371000289916992,69.09
15,4,flatten,32,0.8413000106811523,66.55
16,4,pauli,2,0.6722000241279602,73.65
17,4,pauli,4,0.7728999853134155,72.25
18,4,pauli,8,0.8334000110626221,71.86
19,4,pauli,16,0.8406000137329102,75.34
20,4,pauli,32,0.8439000248908997,77.13
21,14,flatten,2,0.632099986076355,63.27
22,14,flatten,4,0.7961000204086304,63.95
23,14,flatten,8,0.8274000287055969,63.93
24,14,flatten,16,0.838100016117096,66.47
25,14,flatten,32,0.8422999978065491,67.73
26,14,pauli,2,0.7102000117301941,74.62
27,14,pauli,4,0.7985000014305115,72.75
28,14,pauli,8,0.83160001039505,73.98
29,14,pauli,16,0.8417999744415283,73.3
30,14,pauli,32,0.8458999991416931,76.36
