run_id,seed,representation,ansatz,depth,K,init_state,test_accuracy,runtime_sec
1,42,flatten,be,1,2,zero,0.352400004863739,335.76
2,42,flatten,be,3,2,zero,0.42089998722076416,386.1
3,42,flatten,be,5,2,zero,0.42309999465942383,406.16
4,42,flatten,be,7,2,zero,0.41940000653266907,417.86
5,42,flatten,be,9,2,zero,0.4397999942302704,441.56
6,42,flatten,be,15,2,zero,0.36550000309944153,510.11
7,42,flatten,be,21,2,zero,0.4544000029563904,566.32
8,42,flatten,be,1,2,random_fixed,0.30070000886917114,368.75
9,42,flatten,be,3,2,random_fixed,0.40450000762939453,385.37
10,42,flatten,be,5,2,random_fixed,0.38600000739097595,406.55
11,42,flatten,be,7,2,random_fixed,0.4343000054359436,424.63
12,42,flatten,be,9,2,random_fixed,0.42489999532699585,443.44
13,42,flatten,be,15,2,random_fixed,0.3659999966621399,499.58
14,42,flatten,be,21,2,random_fixed,0.4399999976158142,559.72
15,42,flatten,be,1,2,random_indep,0.3693000078201294,373.24
16,42,flatten,be,3,2,random_indep,0.37040001153945923,385.07
17,42,flatten,be,5,2,random_indep,0.4287000000476837,414.19
18,42,flatten,be,7,2,random_indep,0.41350001096725464,420.69
19,42,flatten,be,9,2,random_indep,0.4041999876499176,415.72
20,42,flatten,be,15,2,random_indep,0.4359000027179718,497.82
21,42,flatten,be,21,2,random_indep,0.39239999651908875,560.74
22,42,flatten,be,1,4,zero,0.4943999946117401,685.92
23,42,flatten,be,3,4,zero,0.5799999833106995,725.8
24,42,flatten,be,5,4,zero,0.6442999839782715,755.31
25,42,flatten,be,7,4,zero,0.6801000237464905,805.94
26,42,flatten,be,9,4,zero,0.6730999946594238,846.46
27,42,flatten,be,15,4,zero,0.6905999779701233,941.57
28,42,flatten,be,21,4,zero,0.6887999773025513,1074.45
29,42,flatten,be,1,4,random_fixed,0.4438000023365021,580.99
30,42,flatten,be,3,4,random_fixed,0.5052000284194946,670.62
31,42,flatten,be,5,4,random_fixed,0.616599977016449,748.7
