run_id,seed,representation,K,test_accuracy,runtime_sec
1,42,flatten,2,0.9086999893188477,29.1
2,42,flatten,4,0.9086999893188477,28.83
3,42,flatten,8,0.9086999893188477,29.45
4,42,flatten,16,0.9086999893188477,28.97
5,42,flatten,32,0.9086999893188477,28.86
6,42,pauli,2,0.9053000211715698,36.36
7,42,pauli,4,0.9053000211715698,36.06
8,42,pauli,8,0.9053000211715698,36.63
9,42,pauli,16,0.9053000211715698,35.68
10,42,pauli,32,0.9053000211715698,33.46
11,4,flatten,2,0.9083999991416931,27.66
12,4,flatten,4,0.9083999991416931,28.52
13,4,flatten,8,0.9083999991416931,27.87
14,4,flatten,16,0.9083999991416931,27.58
15,4,flatten,32,0.9083999991416931,28.12
16,4,pauli,2,0.9054999947547913,33.53
17,4,pauli,4,0.9054999947547913,34.58
18,4,pauli,8,0.9054999947547913,34.29
19,4,pauli,16,0.9054999947547913,36.84
20,4,pauli,32,0.9054999947547913,36.92
21,14,flatten,2,0.9083999991416931,28.37
22,14,flatten,4,0.9083999991416931,29.25
23,14,flatten,8,0.9083999991416931,27.47
24,14,flatten,16,0.9083999991416931,27.94
25,14,flatten,32,0.9083999991416931,28.11
26,14,pauli,2,0.9061999917030334,36.72
27,14,pauli,4,0.9061999917030334,35.93
28,14,pauli,8,0.9061999917030334,33.96
29,14,pauli,16,0.9061999917030334,35.74
30,14,pauli,32,0.9061999917030334,35.01
