run_id,seed,representation,K,test_accuracy,runtime_sec
1,42,flatten,2,0.6711000204086304,51.04
2,42,flatten,4,0.864300012588501,51.33
3,42,flatten,8,0.9217000007629395,52.37
4,42,flatten,16,0.9272000193595886,53.37
5,42,flatten,32,0.9282000064849854,56.06
6,42,pauli,2,0.6721000075340271,63.82
7,42,pauli,4,0.86080002784729,62.29
8,42,pauli,8,0.9161999821662903,61.13
9,42,pauli,16,0.9266999959945679,63.19
10,42,pauli,32,0.9265000224113464,61.95
11,4,flatten,2,0.7089999914169312,50.98
12,4,flatten,4,0.8564000129699707,52.34
13,4,flatten,8,0.9208999872207642,52.95
14,4,flatten,16,0.927299976348877,53.6
15,4,flatten,32,0.9297999739646912,58.27
16,4,pauli,2,0.7050999999046326,62.49
17,4,pauli,4,0.8605999946594238,60.49
18,4,pauli,8,0.9165999889373779,61.82
19,4,pauli,16,0.9266999959945679,61.92
20,4,pauli,32,0.9271000027656555,65.13
21,14,flatten,2,0.691100001335144,53.55
22,14,flatten,4,0.8644000291824341,52.05
23,14,flatten,8,0.9185000061988831,52.9
24,14,flatten,16,0.9273999929428101,51.96
25,14,flatten,32,0.9290000200271606,56.2
26,14,pauli,2,0.6922000050544739,62.0
27,14,pauli,4,0.8646000027656555,62.7
28,14,pauli,8,0.9146999716758728,63.0
29,14,pauli,16,0.9243000149726868,61.87
30,14,pauli,32,0.9269000291824341,64.71
